@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
11,63,36,TITLE
10,53,31,TITLE
2,12,3,CPU_FREQ
2,16,7,SCREEN_RESOLUTION
11,65,42,TITLE
1,7,0,PRICE
9,54,41,TITLE
1,7,0,PRICE
4,25,20,TITLE
1,6,2,CPU
11,59,35,TITLE
1,7,3,CPU_FREQ
10,60,37,TITLE
2,12,9,CAMERA_FRONT
11,61,37,TITLE
1,3,0,PRICE
10,62,40,TITLE
1,3,0,PRICE
9,47,25,TITLE
13,83,57,TITLE
1,6,0,PRICE
10,52,30,TITLE
12,69,45,TITLE
11,63,36,TITLE
10,55,35,TITLE
10,58,37,TITLE
2,12,3,CPU_FREQ
2,9,8,CPU_CORES
7,33,20,TITLE
1,3,0,PRICE
12,62,41,TITLE
1,6,0,PRICE
11,59,39,TITLE
1,4,0,PRICE
11,57,36,TITLE
10,56,34,TITLE
1,7,3,CPU_FREQ
10,56,33,TITLE
1,4,0,PRICE
11,61,38,TITLE
11,64,41,TITLE
1,3,0,PRICE
12,69,45,TITLE
1,7,0,PRICE
10,54,34,TITLE
1,6,0,PRICE
11,65,45,TITLE
11,62,38,TITLE
1,4,0,PRICE
6,28,21,TITLE
11,60,36,TITLE
11,60,36,TITLE
10,58,36,TITLE
10,55,33,TITLE
9,59,37,TITLE
1,6,0,PRICE
10,54,34,TITLE
1,5,0,PRICE
10,60,37,TITLE
1,7,0,PRICE
2,10,6,SCREEN_SIZE
11,60,40,TITLE
9,61,41,TITLE
1,10,10,OS
1,7,0,PRICE
11,61,40,TITLE
10,56,36,TITLE
1,6,3,CPU_FREQ
9,48,35,TITLE
10,54,32,TITLE
9,58,35,TITLE
11,61,40,TITLE
1,6,0,PRICE
11,64,37,TITLE
13,76,50,TITLE
1,6,0,PRICE
11,60,37,TITLE
11,61,38,TITLE
1,4,0,PRICE
11,64,37,TITLE
1,7,0,PRICE
11,66,42,TITLE
9,53,33,TITLE
9,56,32,TITLE
1,7,7,OS
1,3,0,PRICE
1,3,2,RAM_CAPACITY
1,6,3,CPU_FREQ
2,14,7,SCREEN_RESOLUTION
11,58,40,TITLE
11,60,37,TITLE
1,6,0,PRICE
7,46,36,TITLE
1,6,0,PRICE
11,66,43,TITLE
4,22,16,OS
1,6,0,PRICE
12,61,44,TITLE
10,59,37,TITLE
1,7,3,CPU
9,52,34,TITLE
10,54,34,TITLE
11,63,40,TITLE
12,65,42,TITLE
11,54,30,TITLE
9,49,31,TITLE
12,63,39,TITLE
2,10,3,CPU_FREQ
10,56,37,TITLE
11,58,35,TITLE
12,62,41,TITLE
10,56,36,TITLE
1,7,3,CPU_FREQ
12,67,43,TITLE
1,6,0,PRICE
10,54,34,TITLE
7,32,22,TITLE
2,9,6,CPU
14,73,52,TITLE
1,5,4,WIFI
10,56,35,TITLE
3,12,8,OS
1,4,0,PRICE
3,17,13,CPU
1,6,2,SCREEN_SIZE
3,11,1,SCREEN_RESOLUTION
1,4,4,COLOR
11,60,39,TITLE
1,4,0,PRICE
1,4,0,SCREEN_SIZE
2,9,8,COLOR
14,75,49,TITLE
2,6,4,CPU
10,56,35,TITLE
13,75,50,TITLE
1,4,0,PRICE
2,6,2,SCREEN_SIZE
3,11,1,SCREEN_RESOLUTION
12,71,45,TITLE
1,4,0,PRICE
2,12,6,WIFI
15,77,52,TITLE
3,19,13,CPU
1,7,6,SCREEN_SIZE
13,71,45,TITLE
3,11,8,OS
2,9,7,CPU
1,5,2,SCREEN_SIZE
14,73,52,TITLE
15,95,64,TITLE
2,7,5,CPU
14,78,53,TITLE
1,5,4,SCREEN_SIZE
8,50,29,TITLE
1,5,0,PRICE
2,15,10,CPU
1,4,2,SCREEN_SIZE
2,9,8,COLOR
13,75,49,TITLE
1,4,0,PRICE
2,11,8,CPU
10,60,39,TITLE
1,4,0,PRICE
1,3,0,SCREEN_SIZE
12,58,37,TITLE
2,10,9,COLOR
17,114,80,TITLE
3,27,21,CPU
12,69,43,TITLE
1,4,0,PRICE
1,7,4,SCREEN_SIZE
14,72,48,TITLE
3,15,10,CPU
17,97,62,TITLE
4,21,12,CPU
12,71,45,TITLE
13,77,50,TITLE
11,63,39,TITLE
9,49,40,TITLE
1,4,0,PRICE
2,11,10,COLOR
15,103,70,TITLE
1,7,0,PRICE
12,68,45,TITLE
1,4,0,PRICE
1,3,0,SCREEN_SIZE
11,61,40,TITLE
1,4,0,PRICE
12,73,47,TITLE
15,82,51,TITLE
3,22,12,CPU
1,5,4,SCREEN_SIZE
3,10,1,SCREEN_RESOLUTION
12,62,40,TITLE
1,6,0,PRICE
10,51,35,TITLE
15,86,56,TITLE
3,17,11,CPU
1,7,3,CPU_FREQ
3,10,1,SCREEN_RESOLUTION
10,49,31,TITLE
1,4,0,PRICE
1,6,2,SCREEN_SIZE
3,11,1,SCREEN_RESOLUTION
8,43,31,TITLE
1,4,0,PRICE
2,9,5,CPU
2,5,3,CPU_FREQ
2,7,4,SCREEN_SIZE
12,66,43,TITLE
17,104,66,TITLE
1,7,0,PRICE
1,12,11,COLOR
11,61,39,TITLE
12,69,45,TITLE
13,71,43,TITLE
1,6,2,CPU
13,73,47,TITLE
1,4,0,PRICE
15,88,61,TITLE
3,23,18,CPU
14,76,44,TITLE
3,15,13,CPU
2,7,3,CPU_FREQ
14,77,52,TITLE
1,4,0,PRICE
14,76,46,TITLE
3,19,13,CPU
12,71,47,TITLE
12,70,47,TITLE
15,103,70,TITLE
4,22,12,CPU
11,54,37,TITLE
1,4,0,PRICE
4,27,18,CPU
1,5,4,SCREEN_SIZE
3,20,18,COLOR
14,74,52,TITLE
16,90,53,TITLE
3,22,12,CPU
13,76,49,TITLE
1,4,0,PRICE
14,76,49,TITLE
13,71,45,TITLE
10,50,31,TITLE
1,4,0,PRICE
18,104,65,TITLE
4,21,12,CPU
14,79,52,TITLE
1,6,0,PRICE
1,7,4,SCREEN_SIZE
14,73,49,TITLE
11,61,39,TITLE
12,70,47,TITLE
11,54,35,TITLE
1,4,0,PRICE
10,52,33,TITLE
15,87,59,TITLE
1,4,0,PRICE
3,24,19,CPU
12,73,47,TITLE
14,76,50,TITLE
1,4,0,PRICE
13,72,45,TITLE
11,65,43,TITLE
4,21,12,CPU
1,11,10,COLOR
16,89,54,TITLE
2,10,7,CPU
13,70,45,TITLE
1,4,0,PRICE
14,75,49,TITLE
15,78,55,TITLE
10,52,35,TITLE
1,4,0,PRICE
13,77,50,TITLE
1,4,0,PRICE
14,75,45,TITLE
1,3,2,SCREEN_SIZE
14,76,49,TITLE
4,19,11,CPU
15,96,63,TITLE
1,7,0,PRICE
8,46,29,TITLE
2,14,13,OS
2,18,17,CPU
2,8,3,CPU_FREQ
11,66,44,TITLE
13,75,46,TITLE
11,54,34,TITLE
10,58,37,TITLE
13,72,45,TITLE
1,4,0,PRICE
18,91,58,TITLE
3,17,11,CPU
15,79,48,TITLE
2,10,3,CPU
10,55,35,TITLE
10,62,41,TITLE
14,75,47,TITLE
12,64,46,TITLE
10,49,31,TITLE
11,55,36,TITLE
10,49,31,TITLE
1,4,0,PRICE
8,45,28,TITLE
15,89,55,TITLE
11,57,40,TITLE
1,4,0,PRICE
10,57,37,TITLE
10,52,33,TITLE
1,4,0,PRICE
15,81,51,TITLE
17,97,62,TITLE
1,7,0,PRICE
12,70,44,TITLE
11,61,39,TITLE
10,51,33,TITLE
1,3,2,CPU
13,74,47,TITLE
8,50,29,TITLE
1,6,2,CPU
15,81,57,TITLE
2,11,7,OS
1,7,0,PRICE
4,21,12,CPU
11,56,36,TITLE
11,57,40,TITLE
14,81,48,TITLE
1,4,0,PRICE
11,56,36,TITLE
1,4,0,PRICE
11,62,40,TITLE
11,52,32,TITLE
15,103,70,TITLE
1,7,0,PRICE
4,22,12,CPU
10,55,35,TITLE
1,4,0,PRICE
2,11,7,OS
3,27,21,CPU
15,100,65,TITLE
1,7,0,PRICE
6,31,25,TITLE
1,3,0,PRICE
