Configuration	ErrorRate	Precision	Recall	F-Measure
{HiddenLayers=i, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	20.99%	76.58%	79.01%	77.15%
{HiddenLayers=o, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	21.00%	77.51%	79.00%	77.47%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	21.00%	77.04%	79.00%	76.85%
{HiddenLayers=t, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	21.08%	77.25%	78.92%	77.29%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	21.12%	77.93%	78.88%	77.64%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	21.13%	76.69%	78.87%	76.60%
{HiddenLayers=o, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	21.15%	77.87%	78.85%	77.68%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=false, NormalizeAttributes=true}	21.17%	78.13%	78.83%	77.62%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=false, NormalizeAttributes=true}	21.23%	77.69%	78.77%	77.57%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	21.23%	77.57%	78.77%	77.46%
{HiddenLayers=a, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	21.25%	77.53%	78.75%	77.30%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	21.30%	77.94%	78.70%	77.47%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.1, TrainingTime=800, Decay=false, NormalizeAttributes=true}	21.36%	77.69%	78.64%	77.54%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	21.38%	77.95%	78.62%	77.33%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	21.41%	75.51%	78.59%	76.26%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	21.43%	77.28%	78.57%	77.25%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	21.43%	75.93%	78.57%	76.38%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=false, NormalizeAttributes=true}	21.49%	77.93%	78.51%	77.47%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	21.49%	77.25%	78.51%	77.09%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	21.49%	76.78%	78.51%	76.85%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	21.60%	75.75%	78.40%	76.09%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	21.62%	77.61%	78.38%	77.27%
{HiddenLayers=a, LearningRate=0.5, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	21.73%	77.40%	78.27%	76.95%
{HiddenLayers=o, LearningRate=0.1, Momentum=0.5, TrainingTime=200, Decay=false, NormalizeAttributes=true}	21.80%	75.71%	78.20%	75.98%
{HiddenLayers=i, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	21.95%	74.87%	78.05%	75.46%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	22.03%	76.80%	77.97%	76.69%
{HiddenLayers=i, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	22.03%	74.81%	77.97%	75.62%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	22.10%	76.44%	77.90%	76.40%
{HiddenLayers=a, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	22.16%	74.66%	77.84%	75.04%
{HiddenLayers=i, LearningRate=0.5, Momentum=0.1, TrainingTime=200, Decay=false, NormalizeAttributes=true}	22.23%	75.27%	77.77%	75.76%
{HiddenLayers=t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=200, Decay=false, NormalizeAttributes=true}	22.25%	74.86%	77.75%	75.15%
