root.title|Processor.ClockSpeed|KeySpecification.Processormanufacturer|Processor.ProcessorModel|Processor.ProcessorNumber|Storage.Harddrivecapacity|Memory.RAMMemory|root.price|Operatingsystem.OperatingSystem|Warranty.ManufacturerWarranty|KeySpecification.Screensize|Display.ScreenResolution|Display.Screensize|Battery.BatteryRunTime|KeySpecification.Colour|Connectivity.WIFI/3GConnectivity(Y/N)
huawei mediapad t1 1gb 8gb wifi 7 inch android 4.4 tablet|||||||£12.97|android 4.4||7in||7in|||
acer iconia one 10 b3-a30 mediatek mt8163qc 1gb 16gb 10.1 inch android 6.0 tablet|1.3ghz||mt8163|||1gb|£135|android 6.0|||1280 x 800||10hours|black|
apple ipad pro 256gb 12.9 inch ios 9 tablet - space grey||apple|a9x||256gb||£755|apple ios 9|1 year warranty|12.9in|2732 x 2048|12.9in|10hours|space grey|wi-fi
new apple ipad pro wi-fi + 512gb 10.5 inch tablet - space grey||apple|a10x fusion||512gb||£855|apple ios 10|1 year warranty|10.5in|2224 x 1668|10.5in|10hours|space grey|wi-fi
apple ipad mini 4 128gb 7.9 inch ios 9 tablet - gold||apple|amd a8||128gb||£415|apple ios 10|1 year warranty|7.9|2048 x 1536|7.9|10hour(s)|gold|wi-fi
fujitsu stylistic r727 core i3-7100u 4gb 128gb ssd 12.5 inch windows 10 professional touchscreen tablet|2.3ghz|intel|intel core i3|i3-7100u||4gb|£159.97|windows 10 pro|2 years warranty||1920 x 1080||10hours||
new apple ipad pro wi-fi + 64gb 12.9 inch tablet - gold||apple|a10x fusion||64gb||£779|apple ios 10|1 year warranty|12.9in|2732 x 2048|12.9in|10hours|gold|wi-fi
samsung galaxy tab s2 3gb 32gb 3g/4g 8 inch android 6.0 tablet|1.8ghz|qualcomm|snapdragon|msm8976|32gb|3gb|£21.97|andriod 6.0||8inch|2048 x 1536|8inch||white|wi-fi, 3g/4g
panasonic toughpad fz-g1 core i5-6300u 2.4ghz 4gb 128gb ssd 10.1 inch windows 10 professional tablet|2.4ghz|intel|intel core i5|6300u|128gb|4gb|£217.97|windows 10 pro|3 years warranty|10.1inch|1920 x 1200|10.1inch|14hours|black/silver|wi-fi
microsoft surface pen v3 in red|||||||£48||1 year warranty|||||red|
